time,duration,x,y,avg_dilation
393990,120,107,671,0.118598214
394608,120,112,681,0.105598214
394748,279,132,691,0.102598214
395067,100,120,687,0.198098214
395186,120,112,672,0.012598214
396263,140,284,239,
396841,100,746,541,0.022098214
397060,259,738,548,0.137401786
397339,199,728,551,0.126598214
397718,140,727,550,0.202598214
397918,199,747,575,0.039098214
398516,180,766,576,0.063098214
398974,120,753,587,0.003401786
399134,219,747,568,0.129598214
400430,100,109,667,0.144598214
400749,140,101,667,0.012098214
400908,120,126,688,0.113598214
401048,140,129,677,0.073401786
401207,139,117,679,0.124098214
401526,319,98,644,0.057598214
402005,100,78,603,0.079598214
402124,159,95,635,0.042901786
402324,120,99,663,0.014598214
402623,100,103,664,0.108098214
402902,120,740,548,0.161098214
403121,160,762,552,0.160098214
403301,100,766,544,0.108098214
403520,100,776,568,0.162598214
403979,100,360,205,0.013098214
404138,140,273,226,0.043901786
404497,179,254,233,
405255,199,795,584,0.290098214
406072,179,734,559,0.021401786
406271,459,745,558,0.091901786
406850,100,723,543,0.069598214
407248,120,91,621,0.070598214
407647,179,103,689,0.023901786
408165,120,143,673,0.109598214
408345,120,145,692,0.157098214
408504,120,135,693,0.138098214
408704,140,117,689,0.088098214
409242,180,775,542,0.003401786
409442,100,776,565,0.090098214
409760,219,464,242,0.072098214
410119,259,253,237,0.092598214
410578,140,53,255,0.118098214
410797,299,289,242,0.056598214
411136,598,605,272,
411794,100,587,285,0.051098214
412013,319,517,304,0.117098214
412432,199,479,276,0.051098214
412691,239,281,235,0.052098214
413070,179,48,253,0.171598214
413389,837,274,238,0.032401786
414286,179,79,241,
414506,179,442,244,0.067598214
414725,199,601,254,0.016098214
415144,159,597,271,0.002901786
415323,1176,627,248,0.002098214
416519,379,628,253,0.064598214
416998,359,456,246,0.091098214
417396,359,448,247,
417795,100,449,264,0.010598214
417995,259,445,248,0.070098214
418274,578,445,247,0.087098214
419091,359,448,250,
419470,180,266,254,0.072598214
419789,160,77,274,0.057598214
419968,199,324,251,0.120598214
420208,339,473,268,0.115598214
420567,279,526,281,0.091098214
420866,279,610,278,0.073598214
421205,140,215,260,0.102098214
421563,180,81,265,0.110598214
421783,219,273,248,0.087598214
422201,239,85,612,0.119098214
422500,140,78,526,0.067401786
422899,239,108,650,
423258,119,110,678,0.125098214
423398,379,125,690,0.077598214
424494,259,770,593,0.054401786
425092,139,772,559,0.105401786
425252,140,772,567,0.086401786
425491,100,502,242,0.115901786
425671,100,435,260,0.143401786
425830,120,156,238,0.101401786
425970,140,82,272,0.099098214
426229,160,285,224,0.150598214
426508,100,253,232,
426707,179,91,230,0.082098214
426907,179,113,244,0.105098214
427106,319,269,236,0.058598214
427664,160,96,635,0.097098214
428262,120,134,682,0.110598214
428641,100,758,625,0.143098214
428940,160,764,559,0.103598214
429219,120,738,564,0.024401786
430117,259,287,222,
430416,160,82,237,0.099598214
430934,140,457,243,
431293,180,463,245,
431532,339,604,254,
431911,379,435,244,0.120598214
432469,479,437,239,
432968,618,452,257,0.150598214
433606,259,513,270,0.166598214
434044,180,263,251,0.131598214
434264,179,83,274,0.085598214
434543,219,268,237,0.077598214
434842,578,618,259,0.192098214
435440,778,512,312,0.136098214
436397,120,731,600,0.239098214
436636,179,761,588,0.148098214
437573,140,104,706,0.002598214
437912,120,111,676,0.102901786
438231,139,141,674,
439647,120,769,566,0.027401786
439946,179,742,547,0.062401786
440145,120,754,558,0.055901786
440365,140,767,553,0.048901786
440584,120,781,544,0.034598214
440823,100,781,579,
441042,219,115,685,0.020598214
